Name                 Chip  XDISP  ECH   XDAng   Deck  Rbin  Cbin   IOrder EOrder
adrd-01_template.idl      1 RED  0.000 -0.6720 C1 1 2 59 97
adrd-02_template.idl      1 RED -0.200 -0.6720 C1 1 2 59 97
adrd-03_template.idl      1 RED  0.200 -0.6720 C1 1 2 59 96
adrd-04_template.idl      1 RED  0.000 -0.5195 C1 1 2 57 92
adrd-05_template.idl      1 RED -0.200 -0.5195 C1 1 2 57 92
adrd-06_template.idl      1 RED  0.200 -0.5195 C1 1 2 57 93
adrd-07_template.idl      1 RED  0.000 -0.3490 C1 1 2 55 87
adrd-08_template.idl      1 RED -0.200 -0.3490 C1 1 2 55 87
adrd-09_template.idl      1 RED  0.200 -0.3490 C1 1 2 55 87
adrd-10_template.idl      1 RED -0.400 -0.3490 C1 1 2 55 87
adrd-11_template.idl      1 RED  0.400 -0.3490 C1 1 2 55 88
adrd-12_template.idl      1 RED  0.000 -0.1600 C1 1 2 53 82
adrd-13_template.idl      1 RED -0.200 -0.1600 C1 1 2 53 82
adrd-14_template.idl      1 RED  0.200 -0.1600 C1 1 2 53 82
adrd-15_template.idl      1 RED -0.400 -0.1600 C1 1 2 53 82
adrd-16_template.idl      1 RED  0.400 -0.1600 C1 1 2 53 83
adrd-17_template.idl      1 RED  0.000  0.0600 C1 1 2 51 77
adrd-18_template.idl      1 RED -0.200  0.0600 C1 1 2 51 77
adrd-19_template.idl      1 RED  0.200  0.0600 C1 1 2 51 77
adrd-20_template.idl      1 RED -0.400  0.0600 C1 1 2 51 77
adrd-21_template.idl      1 RED  0.400  0.0600 C1 1 2 51 77
adrd-22_template.idl      1 RED  0.000  0.3000 C1 1 2 49 72
adrd-23_template.idl      1 RED -0.200  0.3000 C1 1 2 49 72
adrd-24_template.idl      1 RED  0.200  0.3000 C1 1 2 49 72
adrd-25_template.idl      1 RED -0.400  0.3000 C1 1 2 49 72
adrd-26_template.idl      1 RED  0.400  0.3000 C1 1 2 49 72
adrd-27_template.idl      1 RED  0.000  0.5805 C1 1 2 47 67
